RecordID,Shift_Manager_Code,Date,Year,Month,Hour,Session_colour,Weather_Outcast,Temperature_Celsius,Feeling_Temperature_Celsius,Humidity_Percent,Wind_Speed_kph,Season,Public_Holiday,Week_Day,Business_Day
8542,SM-01,27/12/2011,2011,Dec,16,grey,Light Rain or Snow,12.7,13,88,22,Winter,No,Tuesday,yes
4791,SM-05,23/7/2011,2011,Jul,13,yellow,Clear,36.2,42,38,11,Summer,No,Saturday,No
7082,SM-06,27/10/2011,2011,Oct,17,black,Mist and Cloudy,15.5,16,72,31,Autumn,No,Thursday,yes
4541,SM-07,13/7/2011,2011,Jul,3,white,Clear,26.8,29,58,13,Summer,No,Wednesday,yes
6047,SM-08,14/9/2011,2011,Sep,13,red,Clear,27.7,30,55,17,Summer,No,Wednesday,yes
3510,SM-01,31/5/2011,2011,May,4,black,Clear,23,24,83,6,Spring,No,Tuesday,yes
5442,SM-02,19/8/2011,2011,Aug,16,grey,Clear,29.6,33,49,0,Summer,No,Friday,yes
8012,SM-14,5/12/2011,2011,Dec,12,yellow,Mist and Cloudy,10.8,11,76,7,Autumn,No,Monday,yes
3462,SM-11,29/5/2011,2011,May,4,black,Clear,20.2,20,88,6,Spring,No,Sunday,No
691,SM-02,1/2/2011,2011,Feb,3,yellow,Mist and Cloudy,-0.5,-1,69,0,Winter,No,Tuesday,yes
4639,SM-14,17/7/2011,2011,Jul,5,purple,Clear,22.1,24,69,15,Summer,No,Sunday,No
1884,SM-10,24/3/2011,2011,Mar,7,white,Light Rain or Snow,4.2,1,100,15,Spring,No,Thursday,yes
1364,SM-01,2/3/2011,2011,Mar,3,white,Clear,2.3,-2,69,19,Winter,No,Wednesday,yes
8357,SM-02,19/12/2011,2011,Dec,21,grey,Mist and Cloudy,8.9,7,53,9,Autumn,No,Monday,yes
3247,SM-07,20/5/2011,2011,May,5,white,Clear,12.7,13,94,7,Spring,No,Friday,yes
4175,SM-01,27/6/2011,2011,Jun,21,blue,Clear,24.9,27,65,0,Summer,No,Monday,yes
3371,SM-04,25/5/2011,2011,May,9,white,Clear,24,26,65,6,Spring,No,Wednesday,yes
1910,SM-07,25/3/2011,2011,Mar,9,green,Clear,3.3,-2,48,20,Spring,No,Friday,yes
