RecordID,Shift_Manager_Code,Date,Year,Month,Hour,Session_colour,Weather_Outcast,Temperature_Celsius,Feeling_Temperature_Celsius,Humidity_Percent,Wind_Speed_kph,Season,Public_Holiday,Week_Day,Business_Day,Registered_Member_Count,Casual_User_Count,Rental_Bikes_Total
00008270,SM-13,1/1/2012,2012,Jan,0,black,Clear,8.9,9,66,0,Winter,Yes,Sunday,No,43,5.0,48
00011860,SM-04,1/1/2012,2012,Jan,1,grey,Clear,8.9,7,66,9,Winter,Yes,Sunday,No,78,15.0,93
00026390,SM-14,1/1/2012,2012,Jan,2,blue,Clear,7.0,7,76,0,Winter,Yes,Sunday,No,59,16.0,75
00036191,SM-06,1/1/2012,2012,Jan,3,black,Clear,6.1,6,81,0,Winter,Yes,Sunday,No,41,11.0,52
00046734,SM-08,1/1/2012,2012,Jan,4,purple,Clear,5.2,4,81,6,Winter,Yes,Sunday,No,8,0.0,8
00057265,SM-06,1/1/2012,2012,Jan,5,black,Clear,5.2,3,81,7,Winter,Yes,Sunday,No,5,0.0,5
00061466,SM-03,1/1/2012,2012,Jan,6,purple,Clear,4.2,2,93,9,Winter,Yes,Sunday,No,1,1.0,2
00075426,SM-12,1/1/2012,2012,Jan,7,green,Clear,4.2,1,93,11,Winter,Yes,Sunday,No,6,1.0,7
00086578,SM-03,1/1/2012,2012,Jan,8,white,Clear,4.2,2,87,7,Winter,Yes,Sunday,No,10,4.0,14
00099322,SM-01,1/1/2012,2012,Jan,9,black,Clear,4.2,2,93,7,Winter,Yes,Sunday,No,27,13.0,40
00102685,SM-14,1/1/2012,2012,Jan,10,green,Clear,6.1,5,81,7,Winter,Yes,Sunday,No,52,18.0,70
00111769,SM-09,1/1/2012,2012,Jan,11,green,Clear,8.0,6,76,9,Winter,Yes,Sunday,No,98,40.0,138
00127949,SM-11,1/1/2012,2012,Jan,12,red,Clear,10.8,11,62,19,Winter,Yes,Sunday,No,143,58.0,201
