Segment_ID,Road_Segment_Name,Road_Type,Intersection,Speed_Sign,Traffic_Light,Liquor_Licenses,Supermarket,Primary_School,Secondary_School,Commercial_Area,Industrial_Area,Residential_Area,Parkland_Area,Primary_Production_Area,Dwelling_Sep_House,Dwelling_Semid_Tce,Dwelling_Flat_Unit_Apart,SEIFA,Age_Less_Than_15yrs,Age_15_24yrs,Age_25_44yrs,Age_45_64yrs,Age_65yrs_Over,Couple_No_Children,Couple_With_Children,Single_Parent,No_Car,Cars_One,Cars_Two_Over,Zone_Type
16108,MCCARTHY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,1,0,0,971,0.178,0.05,0.168,0.416,0.188,0.45,0.4,0.15,0.035,0.186,0.663,Standard Zone
17354,POPE STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,996,0.222,0.114,0.225,0.332,0.107,0.358,0.494,0.173,0,0.221,0.747,Standard Zone
3302,BURNSIDE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1049,0.201,0.108,0.204,0.341,0.146,0.432,0.484,0.053,0,0.115,0.885,Standard Zone
14864,ORMOND ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.228,0,0.772,1,0,0,1006,0.155,0.173,0.129,0.31,0.233,0.469,0.354,0.125,0,0.203,0.772,Standard Zone
7068,SUNDERLAND BAY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.885,0.115,0,1,0,0,967,0.217,0.07,0.251,0.282,0.181,0.365,0.427,0.182,0.03,0.392,0.537,Standard Zone
460,FIRTH ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1042,0.145,0.131,0.209,0.348,0.167,0.457,0.424,0.054,0,0.122,0.852,Standard Zone
8308,QUEEN STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,0.976,0.012,0,920,0.176,0.14,0.172,0.277,0.235,0.353,0.405,0.209,0.109,0.413,0.425,Standard Zone
12550,GARDNER AND HOLMAN ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.492,0,0.508,1,0,0,1003,0.193,0.09,0.22,0.307,0.19,0.437,0.529,0.035,0,0.132,0.868,Standard Zone
7850,PINKERTON ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1036,0.162,0.115,0.193,0.359,0.172,0.396,0.566,0.057,0,0.064,0.937,Standard Zone
12926,BOWEN STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,0.825,0.175,0,0.801,0.113,0.086,975,0.195,0.128,0.252,0.248,0.177,0.469,0.359,0.188,0.066,0.42,0.448,Standard Zone
5046,GURDIES-ST HELIER ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,0.937,0.046,0,946,0.163,0.077,0.163,0.333,0.264,0.513,0.33,0.104,0.017,0.288,0.655,Standard Zone
9714,BALLAN-EGERTON ROAD,ROAD,Intersection,0,0,0,0,0,0,0,0,0,0.35,0.65,1,0,0,1028,0.14,0.108,0.188,0.384,0.18,0.443,0.486,0.057,0,0.174,0.794,Red Zone
9792,YENDON-EGERTON ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.843,0,0.157,1,0,0,1014,0.2,0.136,0.197,0.342,0.125,0.378,0.52,0.122,0.026,0.172,0.75,Standard Zone
15376,SINCLAIR STREET,STREET,non-Intersection,0,1,3,0,1,0,0.404,0,0.487,0,0,0.498,0.192,0.31,877,0.038,0.109,0.1,0.233,0.519,0.577,0.218,0.128,0.147,0.554,0.245,Red Zone
11114,MCCARTHY SPUR ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.296,0.535,0.17,1,0,0,943,0.097,0.093,0.157,0.335,0.319,0.591,0.242,0.046,0,0.301,0.602,Standard Zone
15926,JOLLYS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1014,0.254,0.086,0.292,0.263,0.105,0.352,0.576,0.097,0,0.125,0.854,Standard Zone
6840,PHILLIP ISLAND ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,0,0.301,0.08,0.5,1,0,0,926,0.265,0.07,0.267,0.308,0.09,0.303,0.413,0.211,0.057,0.342,0.525,Standard Zone
9646,YANKEE FLAT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,,,,,0.138,1,0,0,1108,0.193,0.092,0.211,0.3,0.205,0.427,0.461,0.09,0,0.179,0.783,Standard Zone
7156,SEAVIEW STREET,STREET,non-Intersection,0,0,1,0,0,0,0,0,0.55,0.45,0,0.855,0.067,0.024,1019,0.144,0.079,0.166,0.323,0.288,0.47,0.313,0.183,0.037,0.337,0.564,Standard Zone
14336,ELLIOT ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1017,0.165,0.142,0.244,0.354,0.095,0.419,0.548,0.097,0,0.167,0.762,Standard Zone
6856,PHILLIP ISLAND ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0.543,0,0.457,1,0,0,926,0.265,0.07,0.267,0.308,0.09,0.303,0.413,0.211,0.057,0.342,0.525,Standard Zone
11030,ROKEWOOD-SKIPTON ROAD,ROAD,non-Intersection,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1004,0.187,0.081,0.187,0.349,0.196,0.483,0.466,0.155,0.047,0.141,0.812,Standard Zone
11208,ALAWARA ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,,,,1,0,0,0,0,0.667,0.333,Standard Zone
1772,REIDS ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.966,0.034,1,0,0,1014,0.158,0.112,0.183,0.345,0.202,0.551,0.398,0.092,0,0.093,0.907,Standard Zone
18394,MT ERIP ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.817,0.183,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
18192,KITCHENER STREET,STREET,Intersection,0,0,0,0,0,0,0,0,1,0,0,0.846,0.154,0,935,0.132,0.078,0.178,0.202,0.411,0.44,0.28,0.21,0.061,0.406,0.5,Red Zone
7656,WILLIAM STREET,STREET,non-Intersection,1,0,13,0,0,0,0.25,0,0.242,0.508,0,0.746,0.059,0.123,1037,0.122,0.059,0.229,0.27,0.321,0.576,0.303,0.076,0.069,0.429,0.461,Standard Zone
18402,MT ERIP ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0,0.909,0.091,1,0,0,927,0.153,0.08,0.185,0.333,0.249,0.493,0.29,0.174,0.036,0.182,0.7,Standard Zone
10134,TANNERY ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,0.477,0,0.523,1,0,0,950,0.211,0.094,0.278,0.276,0.142,0.418,0.464,0.137,0,0.238,0.709,Standard Zone
16620,PRINCES WAY,WAY,non-Intersection,0,0,0,0,0,0,0,0,0.27,0,0.73,0.955,0.045,0,1005,0.191,0.156,0.168,0.313,0.172,0.417,0.444,0.167,0,0.256,0.744,Red Zone
9508,WESTGATE ROAD,ROAD,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1046,0.219,0.151,0.175,0.359,0.096,0.309,0.67,0.031,0,0.11,0.862,Standard Zone
3100,CARR STREET,STREET,non-Intersection,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1014,0.254,0.086,0.292,0.263,0.105,0.352,0.576,0.097,0,0.125,0.854,Standard Zone
13358,QUEEN STREET,STREET,Intersection,0,0,3,1,0,0,0.246,0,0.754,0,0,0.626,0.17,0.189,1000,0.127,0.092,0.232,0.256,0.293,0.509,0.339,0.161,0.097,0.447,0.398,Red Zone
